,price,price,price,price,price,price,mileage_km,mileage_km,mileage_km,vehicle_age,vehicle_age,vehicle_age,power_hp,power_hp,power_hp
,count,mean,median,std,min,max,mean,median,std,mean,median,std,mean,median,std
cluster,,,,,,,,,,,,,,,
20,408,27174.37745098039,26475.0,5935.749543935923,9500.0,46945.0,62748.39215686275,63000.0,13244.680482524453,3.3063725490196076,3.0,1.1354283861521048,161.39460784313727,150.0,33.0902075873675
21,236,104431.95762711864,102750.0,12151.127177830622,72400.0,140000.0,22549.495762711864,21600.0,11815.869766744338,0.17796610169491525,0.0,0.39424273616165445,482.6906779661017,470.0,31.42288226358574
22,53,22378.66037735849,22650.0,10468.338184448225,6490.0,54000.0,181628.0,176000.0,30661.256953385622,17.566037735849058,18.0,1.7265955158842787,276.66037735849056,272.0,47.19067027912747
23,332,33813.551204819276,32694.5,7694.632661469503,18590.0,58500.0,149807.906626506,148450.0,19966.83850592699,4.566265060240964,5.0,1.175713665989666,285.95180722891564,286.0,30.913348778088064
24,349,21026.96848137536,20859.0,4192.173500351542,9940.0,33570.0,6836.194842406877,1100.0,10021.347860963264,3.9598853868194843,4.0,0.45937987753442416,110.85100286532952,129.0,22.781461266557223
25,211,13191.701421800948,12900.0,3965.984063429772,2000.0,28500.0,122683.08056872038,126000.0,24728.772003635022,8.895734597156398,9.0,1.4601144135493223,142.1990521327014,143.0,31.21931940096027
26,1676,38350.74582338902,38900.0,6356.571334123721,10990.0,58888.0,9030.05369928401,9900.0,5366.045107434815,4.005966587112172,4.0,0.1923000362910502,154.52207637231504,163.0,19.653782183942745
27,49,80350.77551020408,82000.0,19238.354687820578,40000.0,136900.0,72488.8163265306,69000.0,36990.52699772913,4.591836734693878,4.0,2.1690855153241686,572.0816326530612,575.0,61.026577794260376
28,150,32521.6,30199.5,9119.552328439206,15750.0,63240.0,145467.74666666667,145905.0,23211.38807406083,4.753333333333333,4.0,1.8316262135407853,283.26,292.0,48.17047885953643
29,135,175592.25925925927,177500.0,16276.739026682546,144992.0,215017.0,17826.125925925928,13750.0,18363.27051863967,2.8296296296296295,4.0,1.5813311072502576,435.47407407407405,450.0,56.03208430965267
30,169,4312.757396449704,3500.0,2206.4511274211227,2000.0,15000.0,172242.0828402367,177142.0,28757.338388376156,16.254437869822485,16.0,1.6904126919286697,120.21301775147928,107.0,38.32569784418454
31,219,124071.17808219178,124900.0,9792.04105806446,98500.0,145900.0,44003.12785388128,43900.0,23369.885554047243,4.200913242009133,4.0,1.0207925895044239,429.8767123287671,450.0,37.67629332949159
32,111,10317.756756756757,8500.0,6467.248088661424,2990.0,46990.0,101989.91891891892,100753.0,21665.465928370108,10.26126126126126,10.0,1.8375463467832789,112.53153153153153,99.0,46.89501229920063
33,88,70788.77272727272,73875.0,15776.231573490451,34995.0,104900.0,17090.55681818182,12587.0,15602.898672530062,2.7613636363636362,3.0,1.6677765374570936,279.10227272727275,280.0,44.68099952903102
34,131,6155.595419847328,3990.0,5528.0097709178735,2000.0,32980.0,249717.02290076335,240450.0,36030.11065984963,21.480916030534353,22.0,1.9936481636906744,186.93129770992365,170.0,44.52228324363062
35,226,30970.2610619469,29999.5,7409.922256481462,14900.0,64000.0,112440.23008849558,109057.0,18623.426987179995,5.128318584070796,5.0,1.3017573780802745,264.04424778761063,252.0,26.897794830896366
36,157,21062.458598726116,20990.0,7422.306379654996,4950.0,44981.0,162309.95541401274,157000.0,25046.984570373177,9.67515923566879,10.0,1.5698136444583537,263.97452229299364,269.0,56.57771476706992
37,62,12391.354838709678,10495.0,8711.076700492391,2500.0,39900.0,73030.66129032258,75551.5,27009.685305941974,21.612903225806452,22.0,1.6231404362306827,148.1451612903226,143.0,57.05471827852989
38,99,44592.868686868685,41990.0,11999.44657622351,25999.0,98500.0,160715.9393939394,154120.0,30075.197979845474,7.878787878787879,8.0,1.7277608918607388,564.5858585858585,574.0,41.17558472652979
39,293,31271.955631399316,29950.0,7838.2153787304915,15000.0,56950.0,59853.2457337884,60390.0,14449.735530630365,3.95221843003413,4.0,1.201213795401098,169.95904436860067,163.0,36.218018888866986
40,213,88883.30046948357,88060.0,8147.499038879201,74830.0,114890.0,7027.450704225352,5990.0,6888.097690647799,4.0,4.0,0.0,286.7699530516432,286.0,9.927503177406097
41,137,33859.75912408759,31900.0,7346.610390398888,21000.0,61900.0,20752.846715328466,19999.0,17543.75641657944,1.7883211678832116,1.0,1.7799151373289521,137.26277372262774,131.0,20.175068362371505
42,333,24891.936936936938,24490.0,5129.234325911367,15480.0,45890.0,124941.84084084084,123000.0,13702.47984707629,3.15015015015015,3.0,0.8475558276606229,177.72372372372374,190.0,25.43243959360716
43,50,177641.54,175425.0,25517.790644088098,137950.0,239900.0,16673.0,11650.5,14360.781140996192,1.3,0.0,1.8762750766519565,745.96,740.0,55.56939401343521
